#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,phase
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T04:51:20Z,1502,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T06:50:21Z,1500,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T08:49:25Z,1492,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T09:48:56Z,1479,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T10:48:22Z,1465,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T11:47:58Z,1459,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T12:47:24Z,1464,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T13:46:54Z,1465,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T14:46:25Z,1552,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T15:45:50Z,1543,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T16:45:20Z,1542,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T17:44:50Z,1543,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T19:43:50Z,1543,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T20:43:13Z,1542,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T21:42:43Z,1542,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T22:42:07Z,1541,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-20T23:41:36Z,1540,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T00:41:02Z,1540,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T01:40:31Z,1539,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T02:39:59Z,1538,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T03:39:28Z,1537,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T04:38:58Z,1536,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T05:38:23Z,1535,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T06:37:51Z,1534,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T07:37:21Z,1530,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T08:36:51Z,1525,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T09:36:20Z,1512,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T10:35:51Z,1494,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T11:35:29Z,1492,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T12:34:56Z,1486,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T14:33:51Z,1495,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T15:33:16Z,1495,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T16:32:41Z,1497,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T17:32:06Z,1497,load_grams,plant_watering,esp_2_timer_irrigation,post
